"","xi","sigma","kappa","rho"
"O3",0.0838978952156491,0.589865148879626,1.56287205183613,0.174332882219999
"O3_mean",0.0432977218881006,0.624488666463555,1.55714805921645,0.135688349833336
"O3_sd",0.0091261213117456,0.00777549574067314,0.0176498997489446,0.00332701465949556
"CO",0.175706160766183,1.18870757581637,2.76299139730196,0.0788046281566991
"CO_mean",0.156076930306679,1.17436786668953,2.43002434058436,0.0858310324094292
"CO_sd",0.0113027166372789,0.0167431848719582,0.048514577798782,0.00228629645743928
"NO",0.178642129376624,1.53261336732873,4.25604970307204,0.108263673387405
"NO_mean",0.0464611189020531,1.62248362366179,3.36308029742083,0.107147487843326
"NO_sd",0.0153545008984298,0.0337300188078234,0.0954703234804814,0.00340265664157812
"NO2",0.0948772882341814,0.617264199613219,1.6109877450653,0.174332882219999
"NO2_mean",0.0381472452026319,0.649248186179835,1.61665544165736,0.130339002316639
"NO2_sd",0.0115094655459619,0.00888524986100382,0.0226403940886657,0.00396382871586563
"PM10",0.145930442938864,0.95146607303744,2.29437559375896,0.0923670857187386
"PM10_mean",0.110900933157706,0.984778987788298,2.07768742849437,0.0781463438217241
"PM10_sd",0.0107216904137043,0.0119533938086811,0.0349002268718848,0.00193950790083979
"SO2",0.355169904271551,1.11601107277701,2.04918211883256,0.0672335753649934
"SO2_mean",0.307418720026911,1.1499453445951,2.27257497713146,0.0816836068650575
"SO2_sd",0.0103443552013832,0.0191435564529004,0.0518732380144552,0.00224961125952672
